# Private-history -> public-history commit-SHA map
#
# This repository was published via a one-time git-filter-repo pass that
# redacted two live Signal account identifiers from an ops log (see the
# 'redact live ACIs' commit). Rewriting changed every subsequent commit
# SHA, but tickets and docs throughout docs/plan/ cite the ORIGINAL SHAs
# as stable anchors. This map resolves them: '<original> <published>'.
# Look up an unknown SHA from any doc with: grep <sha-prefix> docs/history-sha-map.txt
old                                      new
224d39d35d84035323f09a55648015aa35c10300 224d39d35d84035323f09a55648015aa35c10300
d8ab793492be5b4d4ee8dcd775df868d1f0733c9 d8ab793492be5b4d4ee8dcd775df868d1f0733c9
ed9bd0a9a15e353e0643bebb63411aaf8e5b8115 ed9bd0a9a15e353e0643bebb63411aaf8e5b8115
54d93593b60c802d67feb161225d8e3862e166dd 54d93593b60c802d67feb161225d8e3862e166dd
64845c43d429f21d7f0550d220b1d1af41acf0cb 64845c43d429f21d7f0550d220b1d1af41acf0cb
f1350ad17469dc2a52dee91fbefdf90ad85a9b1e f1350ad17469dc2a52dee91fbefdf90ad85a9b1e
1aa7e275647f956f49f33764a7e78ecfde6c64d0 1aa7e275647f956f49f33764a7e78ecfde6c64d0
d2695a5dfa5421bdd26f0978c9dca7ecb67221d3 d2695a5dfa5421bdd26f0978c9dca7ecb67221d3
cbc77f782f9515caf7da0973e5434d2dca09f11f cbc77f782f9515caf7da0973e5434d2dca09f11f
2d56139b848dfd49f6bee141ee227c1ca0661e55 2d56139b848dfd49f6bee141ee227c1ca0661e55
1102012cf189be4f093a0d3a62b36a7a211c6c2d 1102012cf189be4f093a0d3a62b36a7a211c6c2d
c45d4838f37e99aa12e91633f90a69766c5df754 c45d4838f37e99aa12e91633f90a69766c5df754
f3908698c3b925532066202877ea28e055f26021 f3908698c3b925532066202877ea28e055f26021
4077646516739c6f0fe517b603489d08158d1a94 4077646516739c6f0fe517b603489d08158d1a94
8fb273a436576c03b90488cc2ea513f299e92b0a 8fb273a436576c03b90488cc2ea513f299e92b0a
534e9b76d5f4d08785b2799371ad82d7390c5bdd 534e9b76d5f4d08785b2799371ad82d7390c5bdd
4038807f9042b25772aee40befc1f51ec41492cf 4038807f9042b25772aee40befc1f51ec41492cf
d6f023f1b4960ef9259f47386d9ee29cffcf37cf d6f023f1b4960ef9259f47386d9ee29cffcf37cf
69ff5d1af3ac7f30acf0a006f2807f9f98fdf719 69ff5d1af3ac7f30acf0a006f2807f9f98fdf719
164de3a822f916ad28022bfe897075bebbd7d75b 164de3a822f916ad28022bfe897075bebbd7d75b
831570ffc7f86d9c06764eff19a65fe44fa22b69 831570ffc7f86d9c06764eff19a65fe44fa22b69
8d1092f69f243bfa47560ca02d9739d1e4851f3c 8d1092f69f243bfa47560ca02d9739d1e4851f3c
85623b1a913cd36f05d68cddcf0612162dbaed8e 85623b1a913cd36f05d68cddcf0612162dbaed8e
